,STEP 3 | Hitung Q | vij=wj×(nij+1),,,,,,,,,,,,,,Skor Final,Rank
Negara,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,,
bobot,"0,0970","0,0790","0,0100","0,1140","0,0830","0,0580","0,0190","0,1000","0,0650","0,0120","0,0570","0,0719","0,1010","0,1340",,
Iraq,"0,1075","0,0856","0,0101","0,1398","0,0961","0,0625","0,0194","0,1100","0,0734","0,0121","0,0617","0,0774","0,1157","0,1694","1,1407",14
Turkey,"0,1091","0,0859","0,0102","0,1346","0,0924","0,0625","0,0195","0,1143","0,0706","0,0123","0,0633","0,0778","0,1206","0,1682","1,1413",13
Lebanon,"0,1069","0,0854","0,0102","0,1270","0,0899","0,0621","0,0196","0,1101","0,0735","0,0122","0,0602","0,0770","0,1214","0,1698","1,1254",16
Israel,"0,1068","0,0891","0,0101","0,1398","0,0968","0,0623","0,0194","0,1105","0,0734","0,0123","0,0624","0,0771","0,1213","0,1696","1,1510",3
Saudi Arabia,"0,1073","0,0873","0,0101","0,1400","0,0962","0,0626","0,0194","0,1119","0,0707","0,0122","0,0625","0,0781","0,1156","0,1676","1,1416",12
Oman,"0,1071","0,0869","0,0101","0,1400","0,0958","0,0631","0,0195","0,1102","0,0711","0,0122","0,0620","0,0771","0,1200","0,1698","1,1449",10
UAE,"0,1067","0,0890","0,0101","0,1398","0,0963","0,0647","0,0197","0,1107","0,0699","0,0123","0,0620","0,0774","0,1186","0,1693","1,1467",8
Qatar,"0,1064","0,0915","0,0101","0,1398","0,0958","0,0633","0,0195","0,1101","0,0700","0,0122","0,0634","0,0772","0,1190","0,1697","1,1481",7
Kuwait,"0,1065","0,0883","0,0101","0,1399","0,0957","0,0631","0,0195","0,1102","0,0700","0,0122","0,0622","0,0772","0,1198","0,1697","1,1444",11
Bahrain,"0,1064","0,0873","0,0101","0,1399","0,0966","0,0645","0,0197","0,1100","0,0713","0,0123","0,0623","0,0771","0,1210","0,1699","1,1484",5
Egypt,"0,1110","0,0855","0,0102","0,1391","0,0965","0,0617","0,0194","0,1139","0,0718","0,0122","0,0614","0,0775","0,1193","0,1690","1,1484",6
India,"0,1134","0,0853","0,0101","0,1397","0,0966","0,0620","0,0194","0,1166","0,0695","0,0122","0,0629","0,0822","0,1112","0,1520","1,1330",15
Pakistan,"0,1158","0,0853","0,0102","0,1387","0,0964","0,0615","0,0194","0,1200","0,0702","0,0121","0,0612","0,0777","0,1194","0,1674","1,1553",1
Bangladesh,"0,1111","0,0853","0,0102","0,1396","0,0967","0,0616","0,0194","0,1194","0,0692","0,0122","0,0630","0,0773","0,1207","0,1636","1,1493",4
Sri Lanka,"0,1100","0,0854","0,0102","0,1364","0,0947","0,0619","0,0194","0,1110","0,0727","0,0122","0,0632","0,0770","0,1214","0,1696","1,1451",9
Nepal,"0,1153","0,0852","0,0102","0,1396","0,0966","0,0614","0,0195","0,1110","0,0703","0,0122","0,0635","0,0771","0,1212","0,1695","1,1526",2
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
hitung BAA,"0,1222507227","0,0960671342","0,01371128515","0,2109481399","0,1494209031","0,07690412521","0,02449833154","0,1214030742","0,09154844373","0,01729216125","0,09203419387","0,07912146771","0,1771478536","0,2489837706",,
